,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Attend.,game_type,game_name
772,2016-11-15,7:30 pm,Atlanta Hawks,93,Miami Heat,90,0,19600,regular_season,Atlanta Hawks at Miami Heat
773,2016-11-15,8:00 pm,Charlotte Hornets,115,Minnesota Timberwolves,108,0,10349,regular_season,Charlotte Hornets at Minnesota Timberwolves
774,2016-11-15,10:00 pm,Chicago Bulls,113,Portland Trail Blazers,88,0,19393,regular_season,Chicago Bulls at Portland Trail Blazers
785,2016-11-16,8:00 pm,Golden State Warriors,127,Toronto Raptors,121,0,21050,regular_season,Golden State Warriors at Toronto Raptors
784,2016-11-16,10:30 pm,San Antonio Spurs,110,Sacramento Kings,105,0,17608,regular_season,San Antonio Spurs at Sacramento Kings
783,2016-11-16,7:00 pm,Washington Wizards,102,Philadelphia 76ers,109,0,14863,regular_season,Washington Wizards at Philadelphia 76ers
782,2016-11-16,7:00 pm,New Orleans Pelicans,82,Orlando Magic,89,0,16127,regular_season,New Orleans Pelicans at Orlando Magic
779,2016-11-16,10:30 pm,Memphis Grizzlies,111,Los Angeles Clippers,107,0,19060,regular_season,Memphis Grizzlies at Los Angeles Clippers
780,2016-11-16,7:30 pm,Detroit Pistons,102,New York Knicks,105,0,19812,regular_season,Detroit Pistons at New York Knicks
775,2016-11-16,7:30 pm,Milwaukee Bucks,100,Atlanta Hawks,107,0,14656,regular_season,Milwaukee Bucks at Atlanta Hawks
781,2016-11-16,8:00 pm,Houston Rockets,103,Oklahoma City Thunder,105,0,18203,regular_season,Houston Rockets at Oklahoma City Thunder
778,2016-11-16,7:00 pm,Cleveland Cavaliers,93,Indiana Pacers,103,0,17022,regular_season,Cleveland Cavaliers at Indiana Pacers
776,2016-11-16,7:30 pm,Dallas Mavericks,83,Boston Celtics,90,0,18624,regular_season,Dallas Mavericks at Boston Celtics
777,2016-11-16,9:00 pm,Phoenix Suns,104,Denver Nuggets,120,0,10247,regular_season,Phoenix Suns at Denver Nuggets
786,2016-11-17,8:00 pm,Portland Trail Blazers,109,Houston Rockets,126,0,15550,regular_season,Portland Trail Blazers at Houston Rockets
787,2016-11-17,7:30 pm,Milwaukee Bucks,73,Miami Heat,96,0,19600,regular_season,Milwaukee Bucks at Miami Heat
788,2016-11-17,8:00 pm,Philadelphia 76ers,86,Minnesota Timberwolves,110,0,16866,regular_season,Philadelphia 76ers at Minnesota Timberwolves
789,2016-11-17,10:30 pm,Chicago Bulls,85,Utah Jazz,77,0,19911,regular_season,Chicago Bulls at Utah Jazz
790,2016-11-17,7:00 pm,New York Knicks,112,Washington Wizards,119,0,16704,regular_season,New York Knicks at Washington Wizards
800,2016-11-18,10:30 pm,Los Angeles Clippers,121,Sacramento Kings,115,0,17608,regular_season,Los Angeles Clippers at Sacramento Kings
798,2016-11-18,8:00 pm,Portland Trail Blazers,101,New Orleans Pelicans,113,0,15552,regular_season,Portland Trail Blazers at New Orleans Pelicans
797,2016-11-18,10:30 pm,San Antonio Spurs,116,Los Angeles Lakers,107,0,18997,regular_season,San Antonio Spurs at Los Angeles Lakers
799,2016-11-18,8:00 pm,Brooklyn Nets,105,Oklahoma City Thunder,124,0,18203,regular_season,Brooklyn Nets at Oklahoma City Thunder
795,2016-11-18,9:00 pm,Toronto Raptors,113,Denver Nuggets,111,1,12476,regular_season,Toronto Raptors at Denver Nuggets
794,2016-11-18,8:30 pm,Memphis Grizzlies,80,Dallas Mavericks,64,0,19715,regular_season,Memphis Grizzlies at Dallas Mavericks
791,2016-11-18,8:00 pm,Golden State Warriors,104,Boston Celtics,88,0,18624,regular_season,Golden State Warriors at Boston Celtics
793,2016-11-18,7:30 pm,Detroit Pistons,81,Cleveland Cavaliers,104,0,20562,regular_season,Detroit Pistons at Cleveland Cavaliers
792,2016-11-18,7:00 pm,Atlanta Hawks,96,Charlotte Hornets,100,0,17989,regular_season,Atlanta Hawks at Charlotte Hornets
796,2016-11-18,7:00 pm,Phoenix Suns,116,Indiana Pacers,96,0,16780,regular_season,Phoenix Suns at Indiana Pacers
809,2016-11-19,7:00 pm,Miami Heat,114,Washington Wizards,111,0,15848,regular_season,Miami Heat at Washington Wizards
808,2016-11-19,7:30 pm,Phoenix Suns,105,Philadelphia 76ers,120,0,18125,regular_season,Phoenix Suns at Philadelphia 76ers
807,2016-11-19,7:00 pm,Dallas Mavericks,87,Orlando Magic,95,0,18846,regular_season,Dallas Mavericks at Orlando Magic
805,2016-11-19,8:30 pm,Golden State Warriors,124,Milwaukee Bucks,121,0,18717,regular_season,Golden State Warriors at Milwaukee Bucks
804,2016-11-19,8:00 pm,Minnesota Timberwolves,71,Memphis Grizzlies,93,0,17112,regular_season,Minnesota Timberwolves at Memphis Grizzlies
803,2016-11-19,10:30 pm,Chicago Bulls,95,Los Angeles Clippers,102,0,19060,regular_season,Chicago Bulls at Los Angeles Clippers
802,2016-11-19,5:00 pm,Utah Jazz,102,Houston Rockets,111,0,14760,regular_season,Utah Jazz at Houston Rockets
801,2016-11-19,7:00 pm,Boston Celtics,94,Detroit Pistons,92,0,16107,regular_season,Boston Celtics at Detroit Pistons
806,2016-11-19,7:00 pm,Charlotte Hornets,116,New Orleans Pelicans,121,1,15739,regular_season,Charlotte Hornets at New Orleans Pelicans
815,2016-11-20,9:00 pm,Toronto Raptors,99,Sacramento Kings,102,0,17608,regular_season,Toronto Raptors at Sacramento Kings
814,2016-11-20,7:00 pm,Indiana Pacers,115,Oklahoma City Thunder,111,1,18203,regular_season,Indiana Pacers at Oklahoma City Thunder
810,2016-11-20,3:30 pm,Portland Trail Blazers,129,Brooklyn Nets,109,0,16608,regular_season,Portland Trail Blazers at Brooklyn Nets
812,2016-11-20,9:30 pm,Chicago Bulls,118,Los Angeles Lakers,110,0,18997,regular_season,Chicago Bulls at Los Angeles Lakers
811,2016-11-20,9:00 pm,Utah Jazz,91,Denver Nuggets,105,0,12565,regular_season,Utah Jazz at Denver Nuggets
813,2016-11-20,12:00 pm,Atlanta Hawks,94,New York Knicks,104,0,19812,regular_season,Atlanta Hawks at New York Knicks
823,2016-11-21,8:30 pm,Dallas Mavericks,91,San Antonio Spurs,96,0,18418,regular_season,Dallas Mavericks at San Antonio Spurs
